GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21901314,1610612759,FFS,Sochaux,1687691235,Lucas Dubois,Lucas,F,,30:11:00,8.0,12.0,0.667,1.0,3.0,0.333,7.0,8.0,0.875,0.0,2.0,2.0,0.0,1.0,0.0,3.0,4.0,24.0,4.0
21901314,1610612759,FFS,Sochaux,1652212853,Marko Petrovic,Marko,F,,31:27:00,5.0,10.0,0.5,3.0,5.0,0.6,3.0,4.0,0.75,1.0,5.0,6.0,3.0,0.0,1.0,1.0,4.0,16.0,7.0
21901314,1610612759,FFS,Sochaux,1683761184,Johann Müller,Johann,C,,21:08,5.0,6.0,0.833,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,10.0,-1.0
21901314,1610612759,FFS,Sochaux,1679581927,Mamadou Diallo,Mamad,G,,34:04:00,6.0,14.0,0.429,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,15.0,-12.0
21901314,1610612759,FFS,Sochaux,1684823847,Yanis Belkacem,Yanis,G,,36:16:00,5.0,14.0,0.357,0.0,2.0,0.0,2.0,2.0,1.0,1.0,13.0,14.0,7.0,0.0,0.0,6.0,3.0,12.0,4.0
21901314,1610612759,FFS,Sochaux,1654357913,Matteo Rossi,Matteo,,,29:43:00,6.0,11.0,0.545,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,-6.0
21901314,1610612759,FFS,Sochaux,1695759817,Amadou Koné,Amadou,,,03:17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0
21901314,1610612759,FFS,Sochaux,1699353056,Alexandre Fontaine,Alex,,,27:14:00,1.0,6.0,0.167,0.0,0.0,0.0,6.0,8.0,0.75,2.0,5.0,7.0,3.0,0.0,4.0,1.0,1.0,8.0,-10.0
21901314,1610612759,FFS,Sochaux,1660724909,Ibrahim Traoré,Ibrah,,,26:40:00,3.0,6.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,2.0,4.0,6.0,4.0,1.0,1.0,2.0,2.0,10.0,-12.0
21901314,1610612759,FFS,Sochaux,1652570497,Malik Ouattara,Malik,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
21901314,1610612759,FFS,Sochaux,1697425574,Souleymane Diarra,Soul,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
21901314,1610612759,FFS,Sochaux,1657985451,Pierre Martin,Pierre,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
21901314,1610612759,FFS,Sochaux,1685968729,Thomas Leblanc,Thomas,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
21901298,1610612759,FFS,Sochaux,1679581927,Mamadou Diallo,Mamad,F,,29:37:00,4.0,12.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,0.0,7.0,7.0,3.0,2.0,0.0,5.0,2.0,12.0,11.0
21901298,1610612759,FFS,Sochaux,1652570497,Malik Ouattara,Malik,F,,28:14:00,9.0,13.0,0.692,0.0,0.0,0.0,5.0,6.0,0.833,0.0,6.0,6.0,4.0,2.0,1.0,0.0,1.0,23.0,19.0
21901298,1610612759,FFS,Sochaux,1683761184,Johann Müller,Johann,C,,27:40:00,6.0,7.0,0.857,0.0,0.0,0.0,2.0,3.0,0.667,3.0,9.0,12.0,1.0,1.0,1.0,1.0,2.0,14.0,25.0
