PLAYER_ID,PLAYER_NAME,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTER_STATUS,FROM_YEAR,TO_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,HEIGHT_CM,WEIGHT_KG,AGE
1687691235,Lucas Dubois,Lucas,Dubois,Lucas Dubois,1999-03-17 00:00:00,Institut Formation Basket,France,6-6,220.0,6,3.0,Forward-Guard,Inactive,2019.0,2025.0,2021,1,18,198.1,99.8,25
1652212853,Marko Petrovic,Marko,Petrovic,Marko Petrovic,2000-11-12 00:00:00,Academy Toulouse,Serbie,6-10,227.0,5,19.0,Forward,Inactive,2019.0,2023.0,2021,1,14,208.3,103.0,24
1683761184,Johann Müller,Johann,Müller,Johann Müller,1995-03-28 00:00:00,Academy Bordeaux,Allemagne,7-0,253.0,9,19.0,Center,Inactive,2016.0,2025.0,2018,1,1,213.4,114.8,29
1679581927,Mamadou Diallo,Mamadou,Diallo,Mamadou Diallo,1998-04-15 00:00:00,INSEP Paris,Sénégal,6-4,204.0,8,16.0,Guard-Forward,Inactive,2018.0,2024.0,2017,1,21,193.0,92.5,25
1684823847,Yanis Belkacem,Yanis,Belkacem,Yanis Belkacem,1996-09-19 00:00:00,INSEP Paris,France,6-4,180.0,9,5.0,Guard,Inactive,2016.0,2025.0,2015,1,20,193.0,81.6,28
1654357913,Matteo Rossi,Matteo,Rossi,Matteo Rossi,1986-01-07 00:00:00,Academy Lyon,Italie,6-5,220.0,14,18.0,Guard,Inactive,2007.0,2019.0,2010,1,3,195.6,99.8,38
1695759817,Amadou Koné,Amadou,Koné,Amadou Koné,1996-09-25 00:00:00,Academy Lyon,Côte d'Ivoire,6-3,205.0,4,15.0,Guard,Inactive,2019.0,2021.0,2022,2,31,190.5,93.0,28
1699353056,Alexandre Fontaine,Alexandre,Fontaine,Alexandre Fontaine,1997-08-26 00:00:00,Academy Lille,France,6-10,245.0,7,19.0,Forward-Center,Inactive,2018.0,2025.0,Undrafted,Undrafted,Undrafted,208.3,111.1,27
1660724909,Ibrahim Traoré,Ibrahim,Traoré,Ibrahim Traoré,1997-02-10 00:00:00,Institut Formation Basket,Mali,6-10,225.0,7,4.0,Forward-Center,Inactive,2018.0,2023.0,2018,2,35,208.3,102.1,27
1652570497,Malik Ouattara,Malik,Ouattara,Malik Ouattara,1989-10-01 00:00:00,Centre de Formation Paris,Burkina Faso,6-6,220.0,16,10.0,Guard-Forward,Inactive,2009.0,2025.0,2010,1,14,198.1,99.8,35
1697425574,Souleymane Diarra,Souleymane,Diarra,Souleymane Diarra,1986-05-26 00:00:00,Academy Bordeaux,Sénégal,6-8,250.0,18,22.0,Forward-Guard,Inactive,2006.0,2022.0,2008,1,26,203.2,113.4,38
1657985451,Pierre Martin,Pierre,Martin,Pierre Martin,1988-10-27 00:00:00,Academy Lille,France,6-2,180.0,17,88.0,Guard,Inactive,2009.0,2024.0,2008,2,54,188.0,81.6,36
